journal,doi,title,authors,year,issns,supporting_cites,contrasting_cites,mentioning_cites,total_cites,scite_report_link
monist,10.5840/monist18967121,The Regenerated Logic,"[{'author_name': 'Charles S. Peirce', 'author_slug': 'Charles S. Peirce', 'author_orcid': None}]",1896,['0026-9662'],0,0,5,5,https://scite.ai/reports/the-regenerated-logic-1EjJJX
monist,10.5840/monist1892221,A Comment by Prof. F. Max Müller Concerning the Discussion on Evolution and Language,"[{'author_name': 'F. Max Müller', 'author_slug': 'F. Max Müller', 'author_orcid': None}]",1892,['0026-9662'],0,0,4,4,https://scite.ai/reports/a-comment-by-prof-f-8kLD6m
monist,10.5840/monist18978125,On Sensations of Orientation,"[{'author_name': 'Ernst Mach', 'author_slug': 'ernst-mach-1nZbbM', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1897,['0026-9662'],1,0,3,4,https://scite.ai/reports/on-sensations-of-orientation-wE52XV
monist,10.5840/monist1895619,"The Darwinism of Darwin, and of the Post-Darwinian Schools","[{'author_name': 'George J. Romanes', 'author_slug': 'george-j-romanes-mej09e', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1895,['0026-9662'],0,0,4,4,https://scite.ai/reports/the-darwinism-of-darwin-and-E9AVNL
monist,10.5840/monist1891136,Illustrative Studies in Criminal Anthropology,"[{'author_name': 'Cesare Lombroso', 'author_slug': 'cesare-lombroso-mdAJdz', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1891,['0026-9662'],0,0,3,4,https://scite.ai/reports/illustrative-studies-in-criminal-anthropology-X8Xdjw
monist,10.5840/monist18912125,The Present Position of Logical Theory,"[{'author_name': 'John Dewey', 'author_slug': 'john-dewey-ANKeM3', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1891,['0026-9662'],0,0,2,3,https://scite.ai/reports/the-present-position-of-logical-gPvLAz
monist,10.5840/monist190011114,Mathematical Principles of Esthetic Forms,"[{'author_name': 'Arnold Emch', 'author_slug': 'arnold-emch-GZ9QNE', 'author_sequence_number': 1, 'affiliations': ['University of Colorado System'], 'affiliation_slugs': ['university-of-colorado-system-AZ4O']}]",1900,['0026-9662'],0,0,3,3,https://scite.ai/reports/mathematical-principles-of-esthetic-forms-KMe3eG
monist,10.5840/monist18933232,A Letter from Mr. Herbert Spencer,"[{'author_name': 'Herbert Spencer', 'author_slug': 'herbert-spencer-gNvKRe', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,3,3,https://scite.ai/reports/a-letter-from-mr-herbert-p652Az
monist,10.5840/monist18933314,The Superstition of Necessity,"[{'author_name': 'John Dewey', 'author_slug': 'john-dewey-ANKeM3', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,3,3,https://scite.ai/reports/the-superstition-of-necessity-VD2eLM
monist,10.5840/monist18955433,The Science of Mentation,"[{'author_name': 'Elmer Gates', 'author_slug': 'elmer-gates-0xzrl9', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1895,['0026-9662'],0,0,3,3,https://scite.ai/reports/the-science-of-mentation-4yX5Ol
monist,10.5840/monist18944315,The Parliament of Religions,"[{'author_name': 'M. M. Trumbull', 'author_slug': 'm-m-trumbull-GZLMaK', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1894,['0026-9662'],0,0,2,2,https://scite.ai/reports/the-parliament-of-religions-lzgL8r
monist,10.5840/monist18945136,On the Principle of the Conservation of Energy,"[{'author_name': 'Ernst Mach', 'author_slug': 'ernst-mach-1nZbbM', 'author_sequence_number': 1, 'affiliations': ['Charles University'], 'affiliation_slugs': ['charles-university-LD2a']}]",1894,['0026-9662'],0,0,2,2,https://scite.ai/reports/on-the-principle-of-the-eOYLGz
monist,10.5840/monist18955443,The Present Problems of Organic Evolution,"[{'author_name': 'Edward Drinker Cope', 'author_slug': 'edward-drinker-cope-QGYrQw', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1895,['0026-9662'],0,0,2,2,https://scite.ai/reports/the-present-problems-of-organic-1EjJXX
monist,10.5840/monist18911233,Illustrative Studies in Criminal Anthropology,"[{'author_name': 'Cesare T. Lombroso', 'author_slug': 'cesare-t-lombroso-aj58gr', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1891,['0026-9662'],0,0,2,2,https://scite.ai/reports/illustrative-studies-in-criminal-anthropology-wE5212
monist,10.5840/monist1890114,The Magic Mirror,"[{'author_name': 'Max Dessoir', 'author_slug': 'max-dessoir-Y56x1r', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1890,['0026-9662'],0,0,2,2,https://scite.ai/reports/the-magic-mirror-QgjzYJ
monist,10.5840/monist1892313,Man’s Glassy Essence,"[{'author_name': 'Charles S. Peirce', 'author_slug': 'charles-s-peirce-JV3x0ea', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1892,['0026-9662'],0,0,1,2,https://scite.ai/reports/man-s-glassy-essence-0Q5LAA
monist,10.5840/monist18999424,Myths in Animal Psychology,"[{'author_name': 'C. O. Whitman', 'author_slug': 'c-o-whitman-5KwkYA', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1899,['0026-9662'],0,0,2,2,https://scite.ai/reports/myths-in-animal-psychology-3Djy5W
monist,10.5840/monist18966217,Germinal Selection,"[{'author_name': 'August Weismann', 'author_slug': 'august-weismann-ngxZG6', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1896,['0026-9662'],0,0,1,1,https://scite.ai/reports/germinal-selection-yD5l3r
monist,10.5840/monist18988212,On the Philosophy of Laughing,"[{'author_name': 'Paul Carus', 'author_slug': 'paul-carus-dmxN6M', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}, {'author_name': 'Sherwood J. B. Sugden', 'author_slug': 'sherwood-j-b-sugden-VWaYGJ', 'author_sequence_number': 2, 'affiliations': [None], 'affiliation_slugs': [None]}]",1898,['0026-9662'],0,0,1,1,https://scite.ai/reports/on-the-philosophy-of-laughing-KMe3vJ
monist,10.5840/monist190010311,The Two Accounts of Hagar. (Genesis xvi. and xxi. 8-21.),"[{'author_name': 'H. Gunkel', 'author_slug': 'H. Gunkel', 'author_orcid': None}]",1900,['0026-9662'],0,0,1,1,https://scite.ai/reports/the-two-accounts-of-hagar-E9AVAk
monist,10.5840/monist18911335,Innovation and Inertia in the World of Psychology,"[{'author_name': 'Cesare Lombroso', 'author_slug': 'cesare-lombroso-mdAJdz', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1891,['0026-9662'],0,0,1,1,https://scite.ai/reports/innovation-and-inertia-in-the-lzgLWb
monist,10.5840/monist18999421,Biology and Metaphysics,"[{'author_name': 'C. Lloyd Morgan', 'author_slug': 'c-lloyd-morgan-nzKbMn', 'author_sequence_number': 1, 'affiliations': [None, None, None, None, None, 'At Bristol', None, None, 'At Bristol', 'University College, Bristol', None, None, None, 'At Bristol', 'At Bristol', 'At Bristol', 'At Bristol', None, 'At Bristol'], 'affiliation_slugs': [None, None, None, None, None, 'at-bristol-Y0kx', None, None, 'at-bristol-Y0kx', 'university-college-bristol-jXey', None, None, None, 'at-bristol-Y0kx', 'at-bristol-Y0kx', 'at-bristol-Y0kx', 'at-bristol-Y0kx', None, 'at-bristol-Y0kx']}]",1899,['0026-9662'],0,0,1,1,https://scite.ai/reports/biology-and-metaphysics-eOYLvr
monist,10.5840/monist18944428,Prof. Adolf Harnack on the Religion of Science,"[{'author_name': 'Paul Carus', 'author_slug': 'paul-carus-dmxN6M', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}, {'author_name': 'Sherwood J. B. Sugden', 'author_slug': 'sherwood-j-b-sugden-VWaYGJ', 'author_sequence_number': 2, 'affiliations': [None], 'affiliation_slugs': [None]}]",1894,['0026-9662'],0,0,1,1,https://scite.ai/reports/prof-adolf-harnack-on-the-eOYLGK
monist,10.5840/monist18944341,Modern Physiology,"[{'author_name': 'Max Verworn', 'author_slug': 'max-verworn-nj4Pen', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1894,['0026-9662'],0,0,1,1,https://scite.ai/reports/modern-physiology-PGnAgk
monist,10.5840/monist18934138,Observations on Some Points in James’s Psychology,"[{'author_name': 'W. L. Worcester', 'author_slug': 'w-l-worcester-rDNlr4', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,1,1,https://scite.ai/reports/observations-on-some-points-in-dnzLWM
monist,10.5840/monist1894424,Monism and Henism,"[{'author_name': 'Paul Carus', 'author_slug': 'paul-carus-dmxN6M', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}, {'author_name': 'Sherwood J. B. Sugden', 'author_slug': 'sherwood-j-b-sugden-VWaYGJ', 'author_sequence_number': 2, 'affiliations': [None], 'affiliation_slugs': [None]}]",1894,['0026-9662'],0,0,1,1,https://scite.ai/reports/monism-and-henism-2d4Jrx
monist,10.5840/monist18944210,"The Problem of Woman, From a Bio-Sociological Point of View","[{'author_name': 'G. Ferrero', 'author_slug': 'G. Ferrero', 'author_orcid': None}]",1894,['0026-9662'],0,0,1,1,https://scite.ai/reports/the-problem-of-woman-from-kAGLbg
monist,10.5840/monist19001048,On the Nature of Scientific Law and Scientific Explanation,"[{'author_name': 'Thomas J. McCormack', 'author_slug': 'thomas-j-mccormack-G51RZK', 'author_sequence_number': 1, 'affiliations': ['La Salle University'], 'affiliation_slugs': ['la-salle-university-5YdD']}]",1900,['0026-9662'],0,0,1,1,https://scite.ai/reports/on-the-nature-of-scientific-nMpLpn
monist,10.5840/monist18944212,A Monistic Theory of Mind,"[{'author_name': 'Lester F. Ward', 'author_slug': 'lester-f-ward-9Nl5RA', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1894,['0026-9662'],0,0,1,1,https://scite.ai/reports/a-monistic-theory-of-mind-58jdZ2
monist,10.5840/monist1898836,A Note from Alsace,"[{'author_name': 'Alfred Weber', 'author_slug': 'alfred-weber-9vvg6A', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1898,['0026-9662'],0,0,1,1,https://scite.ai/reports/a-note-from-alsace-Yx2dbr
monist,10.5840/monist18933229,Renan,"[{'author_name': 'Moncure Daniel Conway', 'author_slug': 'moncure-daniel-conway-jgj3gJ', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,1,1,https://scite.ai/reports/renan-wE52le
monist,10.5840/monist18978110,Man as a Member of Society. Part II,"[{'author_name': 'Paul Topinard', 'author_slug': 'paul-topinard-gXL2n', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1897,['0026-9662'],0,0,1,1,https://scite.ai/reports/man-as-a-member-of-58jdQG
monist,10.5840/monist18933437,The Foundations of Theism,"[{'author_name': 'E. D. Cope', 'author_slug': 'e-d-cope-P0lMZK', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,0,1,https://scite.ai/reports/the-foundations-of-theism-M6G9Ql
monist,10.5840/monist18922317,Psychical Monism,"[{'author_name': 'Edmund Montgomery', 'author_slug': 'edmund-montgomery-bzMgl1', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1892,['0026-9662'],0,0,1,1,https://scite.ai/reports/psychical-monism-nMpLJV
monist,10.5840/monist18999313,The Contemporary Movement in French Philosophy,"[{'author_name': 'L. Lévy-Bruhl', 'author_slug': 'l-levy-bruhl-YrYzKK', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1899,['0026-9662'],0,0,1,1,https://scite.ai/reports/the-contemporary-movement-in-french-95jKEk
monist,10.5840/monist1896631,The Philosophy of Money,"[{'author_name': 'Edward Atkinson', 'author_slug': 'Edward Atkinson', 'author_orcid': None}]",1896,['0026-9662'],0,0,1,1,https://scite.ai/reports/the-philosophy-of-money-58jd4A
monist,10.5840/monist18922343,On Criminal Suggestion,"[{'author_name': 'J. Delbœuf', 'author_slug': 'j-delboeuf-EaNgM8', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1892,['0026-9662'],0,0,1,1,https://scite.ai/reports/on-criminal-suggestion-mYnLjr
monist,10.5840/monist18944319,Notion and Definition of Number,"[{'author_name': 'Hermann Schubert', 'author_slug': 'hermann-schubert-aj5JKj', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1894,['0026-9662'],0,0,1,1,https://scite.ai/reports/notion-and-definition-of-number-jW0mj5
monist,10.5840/monist18933310,Religion and Modern Science,"[{'author_name': 'Friedrich Jodl', 'author_slug': 'friedrich-jodl-neZjX', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}, {'author_name': 'Sherwood J. B. Sugden', 'author_slug': 'sherwood-j-b-sugden-VWaYGJ', 'author_sequence_number': 2, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,1,1,https://scite.ai/reports/religion-and-modern-science-jW0mD5
monist,10.5840/monist18923136,The Future of Thought in America,"[{'author_name': 'Edward Drinker Cope', 'author_slug': 'edward-drinker-cope-QGYrQw', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1892,['0026-9662'],0,0,0,1,https://scite.ai/reports/the-future-of-thought-in-gPvLGn
monist,10.1093/monist/3.3.482,Book Reviews,"[{'author_name': 'Trumbull, M. M.', 'author_slug': 'trumbull-m-m-eKk4nrK', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,"['0026-9662', '2153-3601']",0,0,1,1,https://scite.ai/reports/book-reviews-e5VER6
monist,10.5840/monist18988316,Regressive Phenomena in Evolution,"[{'author_name': 'Cesare Lombroso', 'author_slug': 'cesare-lombroso-mdAJdz', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1898,['0026-9662'],0,0,1,1,https://scite.ai/reports/regressive-phenomena-in-evolution-PGnAb0
monist,10.5840/monist18922213,Recent German Works in Psychology,"[{'author_name': 'Chr. Ufer', 'author_slug': 'chr-ufer-1K2d1y', 'author_sequence_number': 1, 'affiliations': [None, 'Novem (Netherlands)', 'Klinikum Altenburger Land'], 'affiliation_slugs': [None, 'novem-netherlands-WGV9M', 'klinikum-altenburger-land-6MnE1']}]",1892,['0026-9662'],0,0,1,1,https://scite.ai/reports/recent-german-works-in-psychology-JY6Vnn
monist,10.5840/monist18977420,The Basis of Morals,"[{'author_name': 'Dyer D. Lum', 'author_slug': 'dyer-d-lum-Ogr1dO', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1897,['0026-9662'],0,0,1,1,https://scite.ai/reports/the-basis-of-morals-dnzLLj
monist,10.5840/monist190011112,"Lamarck's Views on the Evolution of Man, on Morals, and on the Relation of Science to Religion","[{'author_name': 'A. S. Packard', 'author_slug': 'a-s-packard-XdNL9x2', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1900,['0026-9662'],0,0,1,1,https://scite.ai/reports/lamarck-s-views-on-the-evolution-O02W28
monist,10.5840/monist18923110,Mental Mummies,"[{'author_name': 'Felix L. Oswald', 'author_slug': 'felix-l-oswald-VeQg4rM', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1892,['0026-9662'],0,0,1,1,https://scite.ai/reports/mental-mummies-Yx2dND
monist,10.5840/monist18933239,Intuition and Reason,"[{'author_name': 'Christine Franklin', 'author_slug': 'christine-franklin-Jvd4PY', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1893,['0026-9662'],0,0,1,1,https://scite.ai/reports/intuition-and-reason-nMpL1N
monist,10.5840/monist18955313,The World's Parliament of Religions,"[{'author_name': 'Charles C. Bonney', 'author_slug': 'charles-c-bonney-2xlwgY', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1895,['0026-9662'],0,0,1,1,https://scite.ai/reports/the-world-s-parliament-of-religions-RbaY3W
monist,10.5840/monist18955438,"The Metaphysical ""x"" in Cognition","[{'author_name': 'Paul Carus', 'author_slug': 'paul-carus-dmxN6M', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}, {'author_name': 'Sherwood J. B. Sugden', 'author_slug': 'sherwood-j-b-sugden-VWaYGJ', 'author_sequence_number': 2, 'affiliations': [None], 'affiliation_slugs': [None]}]",1895,['0026-9662'],0,0,1,1,https://scite.ai/reports/the-metaphysical-x-in-cognition-PGnA1g
monist,10.5840/monist18912134,Artificial Selection and the Marriage Problem,"[{'author_name': 'Hiram M. Stanley', 'author_slug': 'hiram-m-stanley-1K6llE', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1891,['0026-9662'],0,0,1,1,https://scite.ai/reports/artificial-selection-and-the-marriage-E9AV2W
monist,10.5840/monist18944420,Leonardo da Vinci as a Pioneer in Science,"[{'author_name': 'William R. Thayer', 'author_slug': 'william-r-thayer-nYNmO4', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1894,['0026-9662'],0,0,0,1,https://scite.ai/reports/leonardo-da-vinci-as-a-Yx2dYD
monist,10.5840/monist1891147,On Thought and Language,"[{'author_name': 'F. Max Mueller', 'author_slug': 'f-max-mueller-WEA09d', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}, {'author_name': 'F. Max Müller', 'author_slug': 'f-max-muller-vXZ5neJ', 'author_sequence_number': 2, 'affiliations': [None], 'affiliation_slugs': [None]}]",1891,['0026-9662'],0,0,1,1,https://scite.ai/reports/on-thought-and-language-zyX2x6
monist,10.5840/monist18966219,Pathological Pleasures and Pains,"[{'author_name': 'Th. Ribot', 'author_slug': 'th-ribot-3nw4pZ', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1896,['0026-9662'],0,0,1,1,https://scite.ai/reports/pathological-pleasures-and-pains-8kLDp9
monist,10.5840/monist19001029,On Psychology and Metaphysics,"[{'author_name': 'Bernard Riemann', 'author_slug': 'bernard-riemann-vGgJV3', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1900,['0026-9662'],0,0,1,1,https://scite.ai/reports/on-psychology-and-metaphysics-gPvLv1
mind,10.1093/mind/os-v.19.301,I.--STATISTICS OF MENTAL IMAGERY,"[{'author_name': 'F. GALTON', 'author_slug': 'f-galton-4lvpJMw', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1880,"['0026-4423', '1460-2113']",3,0,152,162,https://scite.ai/reports/i-statistics-of-mental-imagery-W5JzO1
mind,10.1093/mind/os-ix.33.1,I—ON SOME OMISSIONS OF INTROSPECTIVE SYCHOLOGY,"[{'author_name': 'William James', 'author_slug': 'william-james-QmbvQz', 'author_sequence_number': 1, 'affiliations': ['Harvard University'], 'affiliation_slugs': ['harvard-university-NmzP']}]",1884,"['0026-4423', '1460-2113']",0,0,41,43,https://scite.ai/reports/i-on-some-omissions-of-introspective-Y5JMMK
mind,10.1093/mind/os-2.7.285,I.—A BIOGRAPHICAL SKETCH OF AN INFANT,"[{'author_name': 'Charles Darwin', 'author_slug': 'charles-darwin-ddp4k3', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1877,"['0026-4423', '1460-2113']",0,0,37,38,https://scite.ai/reports/i-a-biographical-sketch-of-an-6dNzRX
mind,10.1093/mind/os-12.45.68,EXPERIMENTS ON THE ASSOCIATION OF IDEAS,"[{'author_name': 'James P. Cattell', 'author_slug': 'james-p-cattell-38R2rb', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1887,"['0026-4423', '1460-2113']",2,0,22,26,https://scite.ai/reports/experiments-on-the-association-of-zgAMkb
mind,10.1093/mind/os-3.10.157,I.—NOTE-DEAFNESS,"[{'author_name': 'Grant Allen', 'author_slug': 'grant-allen-yvzPwa', 'author_sequence_number': 1, 'author_orcid': '0000-0001-6308-6006', 'affiliations': [None], 'affiliation_slugs': [None]}]",1878,"['0026-4423', '1460-2113']",0,0,19,19,https://scite.ai/reports/i-note-deafness-4QbWpV
mind,10.1093/mind/ix.36.469,III.—THE PRINCIPLE OF LEAST ACTION AS A PSYCHOLOGICAL PRINCIPLE,"[{'author_name': 'W. R. Boyce Gibson', 'author_slug': 'w-r-boyce-gibson-EjLzyW', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1900,"['0026-4423', '1460-2113']",0,0,17,17,https://scite.ai/reports/iii-the-principle-of-least-action-we9QNy
mind,10.1093/mind/os-xi.44.539,THE PERCEPTION OF SPACE BY DISPARATE SENSES,"[{'author_name': 'Joseph Jastrow', 'author_slug': 'joseph-jastrow-ejE2Wz', 'author_sequence_number': 1, 'affiliations': ['Johns Hopkins University'], 'affiliation_slugs': ['johns-hopkins-university-w8jy']}]",1886,"['0026-4423', '1460-2113']",1,0,14,15,https://scite.ai/reports/the-perception-of-space-by-aZJDmr
mind,10.1093/mind/1.2.299,CONTRIBUTION TO THE PSYCHOLOGY OF VISUAL DREAMS,"[{'author_name': 'George W. Ladd', 'author_slug': 'george-w-ladd-y8vpPp', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1892,"['0026-4423', '1460-2113']",0,0,15,15,https://scite.ai/reports/contribution-to-the-psychology-of-98y1Gb
mind,10.1093/mind/os-1.3.301,I.—THE ORIGIN AND MEANING OF GEOMETRICAL AXIOMS,"[{'author_name': 'H. HELMHOLTZ', 'author_slug': 'h-helmholtz-PxnVL8b', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1876,"['0026-4423', '1460-2113']",0,0,12,13,https://scite.ai/reports/i-the-origin-and-meaning-of-rzX3Pd
mind,10.1093/mind/iv.16.506,THE TYPE-THEORY OF THE SIMPLE REACTION,"[{'author_name': 'E. B. Titchener', 'author_slug': 'e-b-titchener-9vvx2r', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1895,"['0026-4423', '1460-2113']",0,0,13,13,https://scite.ai/reports/the-type-theory-of-the-simple-zgADvx
mind,10.1093/mind/os-2.7.366,VI.—PHILOSOPHY IN FRANCE,"[{'author_name': 'Th. Ribot', 'author_slug': 'th-ribot-Pj6jK2', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1877,"['0026-4423', '1460-2113']",0,0,10,10,https://scite.ai/reports/vi-philosophy-in-france-b5JEb8
mind,10.1093/mind/iv.13.47,IV.—THE RELATION OF ATTENTION TO MEMORY,"[{'author_name': 'W. G. Smith', 'author_slug': 'w-g-smith-l9Ow3v', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1895,"['0026-4423', '1460-2113']",0,0,9,9,https://scite.ai/reports/iv-the-relation-of-attention-to-LQaWYX
mind,10.1093/mind/os-viii.30.170,II.—REACTION-TIME AND ATTENTION IN THE HYPNOTIC STATE,"[{'author_name': 'G. Stanley Hall', 'author_slug': 'g-stanley-hall-Z3l0Jg', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1883,"['0026-4423', '1460-2113']",0,0,8,9,https://scite.ai/reports/ii-reaction-time-and-attention-in-the-AAy8W2
mind,10.1093/mind/v.20.539,"John M. E. McTaggart, Studies in the Hegelian Dialectic","[{'author_name': 'W. Wallace', 'author_slug': 'w-wallace-lG8PPE', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1896,"['0026-4423', '1460-2113']",1,0,7,8,https://scite.ai/reports/john-m-e-mctaggart-studies-KbnZLp
mind,10.1093/mind/iii.11.362,V.—DISCONTINUITY IN EVOLUTION,"[{'author_name': 'Francis Galton', 'author_slug': 'francis-galton-ykAXp', 'author_sequence_number': 1, 'affiliations': [None], 'affiliation_slugs': [None]}]",1894,"['0026-4423', '1460-2113']",0,0,7,7,https://scite.ai/reports/v-discontinuity-in-evolution-Kbn1nJ
